contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
0crat,bot,-33.88056385695542,4.201260709000123,0.0918769716088328,-2441,-1731,-1,299,H,357
AppVeyorBot,bot,-0.390269020874652,0.660952254841424,0.38421052631578945,-382,-168,-1,300,H,527
Code-Inside-Bot,bot,0.9975376093745787,0.021321730767852435,0.988391376451078,0,0,24,293,H,600
CrowdinBot,bot,0.02685826898554433,1.3149968056106014,0.9789473684210527,-31,-146,65,292,H,553
DrahtBot,bot,-0.10743922047813981,4.5618418880773035,0.3333333333333333,-2,-11,-1,299,D,37
PJBot,bot,-0.4940419826912825,5.036629792607166,0.2553191489361702,-29,-16,-2,297,D,70
addonsbot,bot,-0.28090921815965975,16.049677284224956,0.6666666666666666,-5,-7,3,289,D,65
adobe-bot,bot,-0.5562229173712492,1.918015656572222,0.2,-12,-43,-1,299,T,67
agones-bot,bot,-0.5510000203307142,6.879681396762151,0.7727272727272727,18,14,15,289,D,28
alluxio-bot,bot,-1.0220362204146332,8.178737856402668,0.8048780487804879,-1,6,14,290,D,46
analysis-bot,bot,0.2066704242136841,4.054497962400535,0.5365853658536586,0,-6,-1,300,D,62
angular-automatic-lock-bot[bot],bot,0.027623718937970998,1.6515725321483556,0.96398891966759,-56,8,40,252,H,272
ansibot,bot,-0.012967136810041913,4.082827698670244,0.8260869565217391,7,10,10,298,D,44
apmmachine,bot,-0.36714360213993924,4.899926826056938,0.006329113924050633,-94,-66,-19,299,H,139
aporeto-bot,bot,-0.010357582344112437,2.2449081748355746,0.8947368421052632,-96,-25,-1,287,H,600
aws-cdk-automation,bot,-2.0279900928227304,6.01221027728282,0.012578616352201259,-128,-79,-18,299,T,74
backportbot-nextcloud[bot],bot,-0.3995939013286751,1.9951828140190098,0.882183908045977,44,162,186,295,H,256
ballerina-bot,bot,-3.1145936134668117,4.804998033769241,0.07792207792207792,-53,-28,-1,300,H,61
bedevere-bot,bot,-0.3070391557359011,0.8875420615120151,0.7937062937062938,113,197,284,298,H,608
bits-bot,bot,0.052900160385244255,2.3761455396665423,0.3770491803278688,-2,-12,-3,294,D,54
