contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
0crat,bot,-16.586641326960166,3.213818729763563,0.9779179810725552,18,655,2317,299,H,357
AppVeyorBot,bot,-0.04096104561854341,0.6561736783041163,0.643859649122807,20,57,33,300,H,527
Code-Inside-Bot,bot,0.99769143360063,0.017420743939128666,0.9635157545605307,0,0,24,293,H,600
CrowdinBot,bot,-0.26496757462204523,3.462680114457431,0.9810526315789474,68,43,335,292,H,553
DrahtBot,bot,0.010865985518155985,4.363613037958527,0.5384615384615384,0,-1,-1,299,D,37
PJBot,bot,-0.5468336653341228,5.139666916697052,0.19148936170212766,-34,-16,-2,297,D,70
addonsbot,bot,-0.1669346140897885,16.353601081034196,0.6666666666666666,-1,-5,5,289,D,65
adobe-bot,bot,-0.10231918562418385,1.6762842328662655,0.68,0,2,16,299,T,67
agones-bot,bot,-1.2982323451345539,8.133527368434317,0.4090909090909091,13,6,-2,289,D,28
alluxio-bot,bot,-0.6897966733656735,6.308185421985836,0.4146341463414634,-3,-6,-2,290,D,46
analysis-bot,bot,0.09345609618875395,4.372029225530381,0.5365853658536586,1,-4,-1,300,D,62
angular-automatic-lock-bot[bot],bot,-5.482116756571465,10.264148778167364,0.9750692520775623,8,136,240,252,H,272
ansibot,bot,0.05767283612507412,3.902500984029893,0.7608695652173914,7,9,9,298,D,44
apmmachine,bot,-0.40888516568375666,4.581712138576889,0.0189873417721519,-94,-66,-19,299,H,139
aporeto-bot,bot,-0.0017724232193090383,2.2970427925125785,0.8947368421052632,-75,-25,-1,287,H,600
aws-cdk-automation,bot,-0.030937594963028392,2.6488584599715845,0.7735849056603774,-8,0,21,299,T,74
backportbot-nextcloud[bot],bot,-0.3478285508917851,1.9277154700951133,0.882183908045977,44,159,178,295,H,256
ballerina-bot,bot,0.3584492500131272,1.5801810813608348,0.24675324675324675,-1,-12,-1,300,H,61
bedevere-bot,bot,-0.6124013625488522,1.0292316168402937,0.8321678321678322,107,195,293,298,H,608
bits-bot,bot,-0.4766867496111189,3.0630469843244237,0.18032786885245902,-10,-23,-3,294,D,54
blathers-crl[bot],bot,-1702.2779627940247,103.30630505084463,0.4926829268292683,-26,19,94,277,T,132
bluespice-github-bot,bot,-0.9855013607733347,1.0040410949331582,0.8529411764705882,123,273,436,300,H,662
boring-cyborg[bot],bot,0.06317700227981016,4.13461872145017,0.3333333333333333,-1,-3,-1,297,D,31
