contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,n_activities,frequency,data_points
0crat,bot,-28.182812967389182,1.7636893316773221,0.5228706624605678,-27,554,2160,299,H,357
AppVeyorBot,bot,-1.8052984080488739,0.9208854942062745,0.49122807017543857,14,43,35,300,H,527
Code-Inside-Bot,bot,0.9977511055171631,0.009843905802847894,0.5157545605306799,0,0,0,293,H,600
CrowdinBot,bot,-12.040823205375442,5.597695306846834,0.5326315789473685,-356,-336,-1,292,H,553
DrahtBot,bot,0.04026632367313421,4.395386171592471,0.5384615384615384,0,0,-1,299,D,37
PJBot,bot,-0.8775788328594027,6.017951908638314,0.40425531914893614,-8,-14,-2,297,D,70
addonsbot,bot,-3.492334359905395,25.366414168866033,0.3333333333333333,-19,-16,-1,289,D,65
adobe-bot,bot,-0.5568213252151291,2.099850537733393,0.77,5,13,32,299,T,67
agones-bot,bot,-0.6793554867956717,6.724171508622225,0.7272727272727273,14,13,13,289,D,28
alluxio-bot,bot,-3.5256286145701266,9.431724238204506,0.6585365853658537,-8,-8,-2,290,D,46
analysis-bot,bot,-0.5433555987073109,5.793554455234115,0.3902439024390244,-4,-16,-1,300,D,62
angular-automatic-lock-bot[bot],bot,-1.5553208323339525,2.425024349759549,0.47368421052631576,-72,-40,-16,252,H,272
ansibot,bot,-0.2596609687547966,4.266589748118556,0.4782608695652174,6,6,2,298,D,44
apmmachine,bot,-2.167323042842731,3.744880128163613,0.3670886075949367,40,20,19,299,H,139
aporeto-bot,bot,-0.18502424041714982,2.684788376031403,0.5263157894736842,-97,-25,-1,287,H,600
aws-cdk-automation,bot,-0.23357667871477927,3.5853291195274593,0.8930817610062893,7,31,67,299,T,74
backportbot-nextcloud[bot],bot,-2.2680923046180888,2.2135445124772684,0.6752873563218391,20,102,99,295,H,256
ballerina-bot,bot,-1.620012142336805,1.757388056052135,0.7012987012987013,3,8,13,300,H,61
bedevere-bot,bot,-14.97689665745827,1.7534785220894489,0.5611888111888111,-29,-68,-3,298,H,608
bits-bot,bot,-3.8107338286373853,4.841187289215627,0.4918032786885246,6,3,8,294,D,54
blathers-crl[bot],bot,-0.01426818507585148,2.6715812646445936,0.8634146341463415,-28,-22,16,277,T,132
bluespice-github-bot,bot,-10.650084141794558,1.44506583833247,0.6363636363636364,9,41,78,300,H,662
boring-cyborg[bot],bot,-0.7732727020015564,5.740738597620609,0.4074074074074074,1,1,-1,297,D,31
bors-servo,bot,-0.894898212985809,1.9318212636009398,0.509090909090909,47,23,-2,297,H,213
bot-gradle,bot,-2.8018257129873234,5.889002063574269,0.28,-37,-20,-3,298,H,130
carsonbot,bot,0.1031890308421951,7.747052123854479,0.5,-28,-30,-3,296,D,83
cf-gitbot,bot,-1.1406328796219523,2.226294433013615,0.5530973451327433,-9,28,37,293,H,177
cheminfo-bot,bot,-0.3008680552286973,7.7047845442166745,0.5945945945945946,-2,-9,-3,286,D,32
cla-bot[bot],bot,-1.557766502977426,1.342719130296361,0.5580736543909348,-1,82,78,299,H,267
cmsdmwmbot,bot,0.062205278744352,4.063887780033192,0.3389830508474576,-11,-21,-3,270,D,71
codeclimate[bot],bot,-0.3022114058047334,3.134011563856889,0.7386363636363636,-5,2,27,298,T,58
codesandbox[bot],bot,-1.420618073389841,4.028790481212782,0.6307692307692307,5,3,11,300,H,54
confs-tech-bot,bot,-0.8652596260737615,10.06979752285338,0.4230769230769231,-2,-8,-1,288,D,33
cozy-bot,bot,-36.550961046871834,4.3263990500011005,0.7575187969924813,53,76,171,298,H,318
cypress-bot[bot],bot,-25.94289949302264,4.046818428928862,0.5486725663716814,-43,-49,-1,300,H,373
delete-merged-branch[bot],bot,-0.16975780220338055,2.4024666327711204,0.7669172932330827,12,3,43,299,T,89
devOpsHazelcast,bot,-9.9472979925717,3.790223647013447,0.7358490566037735,-94,-48,214,297,H,255
dlang-bot,bot,-2.5636644956512615,6.350522558983561,0.46808510638297873,-5,-9,-2,297,D,46
