contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
0crat,bot,-33.88056385695542,4.201260709000123,0.0918769716088328,-2441,-1731,-1,-1,299,H,24.0,357
AppVeyorBot,bot,-0.390269020874652,0.660952254841424,0.38421052631578945,-382,-168,-1,-1,300,H,24.0,527
Code-Inside-Bot,bot,0.9975376093745787,0.021321730767852435,0.988391376451078,0,0,24,1,293,H,24.0,600
CrowdinBot,bot,0.02685826898554433,1.3149968056106014,0.9789473684210527,-31,-146,65,1,292,H,24.0,553
DrahtBot,bot,-0.04843331783654081,0.47016056943426887,0.5183585313174947,-64,-290,-1,-1,299,H,24.0,878
PJBot,bot,-0.1561049091467983,1.1168285193493719,0.4404332129963899,-202,-93,-5,-1,298,4H,6.0,419
addonsbot,bot,-0.055471600596289417,4.390027612633374,0.8688524590163934,-8,-12,55,1,289,4H,6.0,389
adobe-bot,bot,-0.1562058771635786,0.4989934767474752,0.49697885196374625,-103,-276,-1,-1,300,3T,,445
agones-bot,bot,-0.8433778959385516,0.668994630010847,0.34812623274161736,-387,-225,-6,-1,299,H,24.0,688
alluxio-bot,bot,-0.13467804328884792,0.8309025668986284,0.34303534303534305,-388,-197,-16,-1,293,2H,12.0,551
analysis-bot,bot,0.04729405599182068,0.9753484093559658,0.6012461059190031,-7,-71,-1,-1,300,3H,8.0,494
angular-automatic-lock-bot[bot],bot,-13.49232629960495,12.584436256474616,0.986130374479889,30,304,518,1,252,30T,48.0,544
ansibot,bot,0.015367720161662657,0.7530450376604797,0.7247706422018348,92,119,109,1,300,2H,12.0,527
apmmachine,bot,0.047071816412732725,1.6459020870308905,0.00211864406779661,-279,-196,-55,-1,299,20T,72.0,415
aporeto-bot,bot,-0.010357582344112437,2.2449081748355746,0.8947368421052632,-96,-25,-1,-1,287,H,24.0,600
aws-cdk-automation,bot,-8.80897676682866,3.4415005904942344,0.03977272727272727,-849,-520,-1,-1,300,3T,,495
backportbot-nextcloud[bot],bot,-0.26317255979658416,1.115871388311015,0.8920863309352518,89,326,373,1,295,30T,48.0,511
ballerina-bot,bot,-0.9710638570169263,1.1820174347088679,0.12121212121212122,-318,-165,-1,-1,300,10T,144.0,362
bedevere-bot,bot,-0.3070391557359011,0.8875420615120151,0.7937062937062938,113,197,284,1,298,H,24.0,608
bits-bot,bot,0.41694213449240924,0.5722885055180335,0.5279503105590062,-24,-120,-16,-1,294,3H,8.0,432
blathers-crl[bot],bot,-1.9612757078787486,4.084207216226537,0.9572649572649573,16,131,340,1,277,7T,,377
bluespice-github-bot,bot,-1.1814733792687568,1.0618502332134605,0.8703208556149733,130,284,452,1,300,H,24.0,662
boring-cyborg[bot],bot,-0.05136519887643476,0.5290034644173647,0.5732484076433121,-134,-152,-1,-1,300,H,24.0,737
bors-servo,bot,-0.12928045406028743,1.0513981809237771,0.6,82,16,-4,-1,297,30T,48.0,426
bot-gradle,bot,-0.10368849182842887,2.0729165336661324,0.6232876712328768,-21,-32,-1,-1,300,20T,72.0,392
