contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
0crat,bot,-16.586641326960166,3.213818729763563,0.9779179810725552,18,655,2317,1,299,H,24.0,357
AppVeyorBot,bot,-0.04096104561854341,0.6561736783041163,0.643859649122807,20,57,33,1,300,H,24.0,527
Code-Inside-Bot,bot,0.99769143360063,0.017420743939128666,0.9635157545605307,0,0,24,1,293,H,24.0,600
CrowdinBot,bot,-0.26496757462204523,3.462680114457431,0.9810526315789474,68,43,335,1,292,H,24.0,553
DrahtBot,bot,-0.020901623566055294,0.4755636047851144,0.6220302375809935,9,-52,-1,-1,299,H,24.0,878
PJBot,bot,-0.10093001708878124,1.104321965515562,0.5884476534296029,-189,-93,-5,-1,298,4H,6.0,419
addonsbot,bot,0.09715809052362212,3.1160693600319993,0.7213114754098361,-31,-57,-1,-1,289,4H,6.0,389
adobe-bot,bot,-0.21986091446154776,0.5988031235380047,0.6253776435045317,-12,-10,68,1,300,3T,,445
agones-bot,bot,-0.8895439322002108,0.8135220151034822,0.9043392504930966,482,516,618,1,299,H,24.0,688
alluxio-bot,bot,-0.037027846999110325,0.7806196023829487,0.4760914760914761,-304,-197,-16,-1,293,2H,12.0,551
analysis-bot,bot,0.052063270686346974,0.9797982031768612,0.6074766355140186,-5,-64,-1,-1,300,3H,8.0,494
angular-automatic-lock-bot[bot],bot,-3.00812381032161,4.846317591479127,0.9833564493758669,12,268,472,1,252,30T,48.0,544
ansibot,bot,0.011168673362395354,0.7623771749826386,0.7302752293577982,94,124,120,1,300,2H,12.0,527
apmmachine,bot,-0.23786614901598813,1.6078375373499714,0.0826271186440678,-279,-196,-55,-1,299,20T,72.0,415
aporeto-bot,bot,-0.0017724232193090383,2.2970427925125785,0.8947368421052632,-75,-25,-1,-1,287,H,24.0,600
aws-cdk-automation,bot,-0.013029338485167186,0.5080321309170368,0.8361742424242424,-106,-87,123,1,300,3T,,495
backportbot-nextcloud[bot],bot,-0.236503316393885,1.0896595185346516,0.8906474820143885,89,322,363,1,295,30T,48.0,511
ballerina-bot,bot,0.26028050275029835,0.5419023862098014,0.8203463203463204,10,41,90,1,300,10T,144.0,362
bedevere-bot,bot,-0.6124013625488522,1.0292316168402937,0.8321678321678322,107,195,293,1,298,H,24.0,608
bits-bot,bot,0.394115915152199,0.5973339523600657,0.28778467908902694,-80,-179,-16,-1,294,3H,8.0,432
blathers-crl[bot],bot,-117128797.04522152,11110.781273769991,0.4905982905982906,-57,63,279,1,277,7T,,377
bluespice-github-bot,bot,-0.9855013607733347,1.0040410949331582,0.8529411764705882,123,273,436,1,300,H,24.0,662
boring-cyborg[bot],bot,-0.0439414384710064,0.5310479702085418,0.5955414012738853,-117,-152,-1,-1,300,H,24.0,737
bors-servo,bot,-0.13970381923659714,1.0161328731084143,0.6454545454545455,87,-10,-4,-1,297,30T,48.0,426
bot-gradle,bot,-0.21027729130578776,2.419807361489921,0.6712328767123288,4,6,24,1,300,20T,72.0,392
carsonbot,bot,-0.0013898384115773599,1.3528737411240686,0.29770992366412213,-262,-178,-15,-1,296,4H,6.0,496
cf-gitbot,bot,-0.885224632672595,1.714141829283328,0.8644444444444445,38,190,263,1,295,30T,48.0,354
cheminfo-bot,bot,-0.002082151978926028,0.6045906138341373,0.8933177022274326,44,-24,161,1,300,H,24.0,772
cla-bot[bot],bot,-0.06433775763962535,0.6253609475896059,0.7713068181818182,-39,109,79,1,300,30T,48.0,534
cmsdmwmbot,bot,-0.0769289664876287,1.5172080437917466,0.8242074927953891,5,78,146,1,292,4H,6.0,429
codeclimate[bot],bot,-0.1844307560019134,0.5340084556874237,0.5752009184845006,-260,-457,-1,-1,300,2T,,577
codesandbox[bot],bot,-0.6410975570165298,0.841870114359206,0.5020833333333333,-7,-72,-1,-1,300,8T,168.0,406
confs-tech-bot,bot,0.013703182984357354,0.7513891904027048,0.8954248366013072,-68,-187,-1,-1,299,H,24.0,783
cozy-bot,bot,-29.72892024912542,8.559411548548969,0.9924812030075187,144,263,455,1,298,H,24.0,318
cypress-bot[bot],bot,-1.1949774743837192,2.4433006799576398,0.8997050147492626,53,150,213,1,300,H,24.0,373
delete-merged-branch[bot],bot,-8.158360945539268,2.141033127393579,0.5370650529500757,46,-15,172,1,299,4T,,445
devOpsHazelcast,bot,-7.723243175040327,4.036961627075825,0.9744801512287334,-23,208,888,1,299,30T,48.0,510
dlang-bot,bot,-0.5063682015861608,0.8990396790532237,0.8628158844765343,82,121,283,1,300,2H,12.0,550
docker-library-bot,bot,-0.26292491590143596,2.3120995527303267,0.7916666666666666,19,34,46,1,300,30T,48.0,322
dontcallmedom-bot,bot,-0.4408584328167018,1.0475453180171634,0.8658536585365854,48,113,168,1,292,H,24.0,479
dotnet-bot,bot,-9.299035624492149,3.6936302506873537,0.9458689458689459,51,127,248,1,299,15T,96.0,414
dotnet-issue-labeler[bot],bot,-0.2169845156767949,0.6229210092374663,0.7636165577342048,-18,112,388,1,300,H,24.0,793
