contributor,category,r2,mae,pga,ctd_100,ctd_200,ctd_300,flag_300,n_activities,frequency,seasonality,data_points
0crat,bot,-28.182812967389182,1.7636893316773221,0.5228706624605678,-27,554,2160,1,299,H,24.0,357
AppVeyorBot,bot,-1.8052984080488739,0.9208854942062745,0.49122807017543857,14,43,35,1,300,H,24.0,527
Code-Inside-Bot,bot,0.9977511055171631,0.009843905802847894,0.5157545605306799,0,0,0,1,293,H,24.0,600
CrowdinBot,bot,-12.040823205375442,5.597695306846834,0.5326315789473685,-356,-336,-1,-1,292,H,24.0,553
DrahtBot,bot,-1.996787022532153,0.8043499527389528,0.5518358531317494,7,22,19,1,299,H,24.0,878
PJBot,bot,-0.2488489261757132,1.311009987144871,0.5884476534296029,-67,-93,-5,-1,298,4H,6.0,419
addonsbot,bot,-7.451247126580707,10.483350208267982,0.5655737704918032,-108,-90,-1,-1,289,4H,6.0,389
adobe-bot,bot,-0.10774391093447888,0.6364778163502174,0.6359516616314199,38,90,216,1,300,3T,,445
agones-bot,bot,-0.726171632194744,0.5259805657948399,0.5808678500986193,390,312,292,1,299,H,24.0,688
alluxio-bot,bot,-0.4147215038302994,0.9203973703798305,0.2972972972972973,-97,-98,-16,-1,293,2H,12.0,551
analysis-bot,bot,-0.4878329053039099,1.1579893422017755,0.48286604361370716,-28,-119,-1,-1,300,3H,8.0,494
angular-automatic-lock-bot[bot],bot,-1.5132007091956856,1.2139829697755558,0.4521497919556172,-144,-80,-32,1,252,30T,48.0,544
ansibot,bot,-17.88489355337889,2.80104544896036,0.5981651376146789,66,58,12,1,300,2H,12.0,527
apmmachine,bot,-2.1297946494230744,1.274131319255758,0.4724576271186441,121,60,57,1,299,20T,72.0,415
aporeto-bot,bot,-0.18502424041714982,2.684788376031403,0.5263157894736842,-97,-25,-1,-1,287,H,24.0,600
aws-cdk-automation,bot,-0.05914810254032332,0.7019054158698752,0.8446969696969697,42,206,560,1,300,3T,,495
backportbot-nextcloud[bot],bot,-3.1587285378057457,1.237376079791441,0.6,41,204,198,1,295,30T,48.0,511
ballerina-bot,bot,-1.268295743369781,0.5085801183346652,0.49134199134199136,15,47,82,1,300,10T,144.0,362
bedevere-bot,bot,-14.97689665745827,1.7534785220894489,0.5611888111888111,-29,-68,-3,-1,298,H,24.0,608
bits-bot,bot,0.11283541883572956,0.5980221716154263,0.2070393374741201,16,16,27,1,294,3H,8.0,432
blathers-crl[bot],bot,-0.004734172612373744,1.0884399836569332,0.864957264957265,-81,-65,42,1,277,7T,,377
bluespice-github-bot,bot,-10.650084141794558,1.44506583833247,0.6363636363636364,9,41,78,1,300,H,24.0,662
boring-cyborg[bot],bot,-1.0821115382820459,0.654837730830207,0.45063694267515925,-16,-9,-1,-1,300,H,24.0,737
bors-servo,bot,-1.0724806007746794,1.1603569604137776,0.5022727272727273,95,46,-4,-1,297,30T,48.0,426
bot-gradle,bot,-2.9549370907187185,2.795164398531867,0.4452054794520548,-106,-56,-1,-1,300,20T,72.0,392
carsonbot,bot,-0.005853819667982929,1.4792680774840865,0.7061068702290076,-164,-178,-15,-1,296,4H,6.0,496
cf-gitbot,bot,-1.220123550485591,1.3337744217059986,0.5222222222222223,-18,58,74,1,295,30T,48.0,354
cheminfo-bot,bot,-4.8355747997852045,1.5258781651481925,0.5252051582649473,-4,-103,13,1,300,H,24.0,772
cla-bot[bot],bot,-1.6489933168761146,0.7457447211460291,0.5738636363636364,-2,167,154,1,300,30T,48.0,534
cmsdmwmbot,bot,-25.083395396973447,6.481281471142665,0.4697406340057637,-84,-107,-4,-1,292,4H,6.0,429
codeclimate[bot],bot,-0.047009103186774315,0.6279759708324583,0.7726750861079219,-44,13,293,1,300,2T,,577
codesandbox[bot],bot,-1.96795982076098,0.9502092984049563,0.5375,39,38,80,1,300,8T,168.0,406
confs-tech-bot,bot,-0.6570540388532355,0.9493936547584017,0.48856209150326796,-69,-176,-1,-1,299,H,24.0,783
cozy-bot,bot,-36.550961046871834,4.3263990500011005,0.7575187969924813,53,76,171,1,298,H,24.0,318
cypress-bot[bot],bot,-25.94289949302264,4.046818428928862,0.5486725663716814,-43,-49,-1,-1,300,H,24.0,373
delete-merged-branch[bot],bot,-0.050320132839973386,0.7410086853916851,0.7125567322239031,54,10,211,1,299,4T,,445
devOpsHazelcast,bot,-11.937702896591698,2.007861327144023,0.6710775047258979,-187,-96,439,1,299,30T,48.0,510
dlang-bot,bot,-18.92790830397237,2.2213116859366098,0.7184115523465704,-17,-78,-1,-1,300,2H,12.0,550
docker-library-bot,bot,-27.047565097771006,3.761054432654772,0.5694444444444444,-87,-43,-1,-1,300,30T,48.0,322
dontcallmedom-bot,bot,0.21038624192045485,0.7955391578694828,0.573170731707317,-24,-55,-1,-1,292,H,24.0,479
dotnet-bot,bot,-59.34856920781928,2.4585992771981187,0.5128205128205128,-258,-149,-1,-1,299,15T,96.0,414
dotnet-issue-labeler[bot],bot,-2.782428319828205,0.7777381376156662,0.5370370370370371,-99,-68,103,1,300,H,24.0,793
dotnet-maestro-bot,bot,-0.4479235094681162,0.6768777138471745,0.47474747474747475,182,125,-1,-1,296,H,24.0,705
edx-requirements-bot,bot,-0.6508954812523979,1.2316817334888315,0.4897025171624714,-44,-29,148,1,299,15T,96.0,350
edx-transifex-bot,bot,-18.253792015044727,3.27284299372603,0.5738125802310655,90,44,72,1,295,H,24.0,662
elife-bot,bot,-1.6478963757674712,0.9429437838589474,0.4981549815498155,334,408,331,1,295,20T,72.0,387
engine-flutter-autoroll,bot,-12.91538473866183,2.504424965904509,0.5754385964912281,-61,-107,-1,-1,300,20T,72.0,339
fire-bot,bot,-0.7044650885864574,1.8967340499460814,0.46543778801843316,-98,-87,-1,-1,299,4H,6.0,487
flinkbot,bot,-1.9841226596887402,0.9280946384999742,0.5997001499250375,193,183,198,1,296,20T,72.0,452
fluttergithubbot,bot,-3.0747125097027626,1.4626193786942518,0.3258064516129032,18,-66,-1,-1,300,30T,48.0,433
forking-renovate[bot],bot,-0.854463982722337,0.8906382712786279,0.6157635467980296,172,399,427,1,300,30T,48.0,417
fossabot,bot,-0.5714993551395089,1.2818642319861666,0.6029055690072639,-48,28,6,1,297,H,24.0,389
garybot2,bot,-0.10461729943759468,1.2119569265059869,0.6611295681063123,-71,-84,-1,-1,300,4H,6.0,418
gatsby-cloud[bot],bot,-3.125361077443112,1.2130199190583093,0.42485549132947975,-60,-78,-1,-1,300,20T,72.0,420
getsentry-bot,bot,-13.988397100222604,3.39052746829621,0.6140776699029126,-11,-82,-5,-1,299,H,24.0,364
gitguardian[bot],bot,-2.231684169110025,1.0640140426831937,0.5640326975476839,-27,-6,-1,-1,300,10T,144.0,362
gitpod-io[bot],bot,-15.291496834646278,0.6364803108688515,0.4745508982035928,166,1229,2143,1,300,30T,48.0,565
google-ml-butler[bot],bot,-0.03210852935537645,1.4470349799001487,0.5849056603773585,-45,-79,-1,-1,300,H,24.0,359
google-oss-bot,bot,-1.2995821967290286,1.3660051846433747,0.4128787878787879,-36,-92,-1,-1,300,20T,72.0,362
graalvmbot,bot,-1.9522680894252642,1.216246541366654,0.5350701402805611,130,129,138,1,299,20T,72.0,372
graviteeio,bot,-117.8909037049737,3.5997786947735637,0.6580118694362018,53,201,615,1,294,30T,48.0,523
guardrails[bot],bot,-1.069279462382768,0.8354005437304736,0.525974025974026,35,37,66,1,296,30T,48.0,403
hashicorp-cla,bot,-1.3355172674320284,0.8455458692935837,0.4278996865203762,-19,-83,-1,-1,300,H,24.0,730
hasura-bot,bot,-1.2591707747338727,1.2296593194846839,0.4601990049751244,-107,-109,-10,-1,297,H,24.0,509
hft-team-city,bot,-0.04844512436106885,1.781816839756948,0.5665399239543726,-117,-219,-24,-1,269,H,24.0,329
ibmdotcom-bot,bot,-5.415158402100454,2.2786915692581085,0.5067264573991032,-94,48,-1,-1,297,H,24.0,404
ionitron-bot[bot],bot,-0.22333447376645044,0.8853661527051282,0.6010498687664042,-25,-39,-4,-1,298,3H,8.0,460
istio-policy-bot,bot,0.27387833173895915,0.40118610305391483,0.47001090512540894,2,110,237,1,291,H,24.0,655
jbosstm-bot,bot,-1.1821889874759557,3.2423650762773644,0.6220472440944882,-110,-30,-7,-1,290,2H,12.0,471
jenkins-x-bot-test,bot,-0.07761661408372178,2.5788583245428636,0.5238095238095238,-122,-93,-5,-1,275,6H,4.0,361
jetstack-bot,bot,-16.46917025048824,2.922993410756868,0.6534391534391535,53,5,-27,-1,295,30T,48.0,343
jitsi-jenkins,bot,-15.94449781949304,2.775459780801426,0.6149068322981367,-38,44,62,1,299,30T,48.0,341
johnpbloch-bot,bot,-6.040685745571842,2.130092626633873,0.7621696801112656,-13,52,208,1,300,2H,12.0,503
jujubot,bot,-37.040367221411515,7.794733047518259,0.6201298701298701,-95,-104,-5,-1,297,4H,6.0,473
knative-prow-robot,bot,-12.14885872274705,4.0907365404384395,0.6645569620253164,-65,-68,-1,-1,300,3H,8.0,446
ks-ci-bot,bot,-0.3105885420571928,0.921929504936865,0.5474613686534217,-2,-145,-21,-1,297,H,24.0,594
kubevirt-commenter-bot,bot,-3.3658448875654745,0.5669061869734946,0.43189017951425557,148,145,346,1,300,H,24.0,595
lgtm-com[bot],bot,-0.06882290142880154,2.201936930023919,0.5918367346938775,-106,-111,-37,-1,296,4T,,406
lingohub[bot],bot,-0.3659974969320987,0.3754784281439033,0.46584699453551914,35,132,200,1,296,2H,12.0,505
linux-foundation-easycla[bot],bot,-3.803673663999036,1.1729358098270626,0.5557986870897156,98,63,49,1,298,30T,48.0,362
livingdocs-automation,bot,-1.9115485633997862,1.497815113073416,0.52,23,86,86,1,297,H,24.0,305
mender-test-bot,bot,-10.257327483093611,2.3667233922203246,0.5603864734299517,-62,-54,-7,-1,296,H,24.0,499
metal3-io-bot,bot,-3.2286408672218405,1.2179894067567403,0.5283687943262412,-135,7,-28,-1,298,30T,48.0,529
metamaskbot,bot,-2.503521604723763,1.7459526279283555,0.3346938775510204,-64,-88,-3,-1,297,30T,48.0,453
minikube-bot,bot,-2.800615368850815,2.149804361562824,0.5601173020527859,-37,-97,-1,-1,300,2H,12.0,455
minikube-pr-bot,bot,-1.81622558472404,1.3450664784764452,0.4342105263157895,-13,-69,-1,-1,300,3H,8.0,478
minio-trusted,bot,-2.8134629944403193,0.7216674628187187,0.7038019451812555,63,173,628,1,300,H,24.0,499
miss-islington,bot,-1.5683349483190603,1.3540631110317973,0.4853658536585366,86,67,95,1,296,H,24.0,313
mister-roboto,bot,-0.16797820322394408,1.0147521302923868,0.5024038461538461,-39,-85,-1,-1,300,H,24.0,549
mm-cloud-bot,bot,-9.349580021314205,1.864271052360039,0.6021739130434782,126,62,76,1,300,30T,48.0,328
moz-wptsync-bot,bot,-2.6577197665971815,1.0100844154560855,0.44982698961937717,16,146,46,1,299,H,24.0,531
mumukibot,bot,-4.697954763085383,1.0938516694734317,0.554945054945055,117,475,473,1,298,12T,120.0,357
nacho-bot,bot,-9.061959987880313,2.045911071782512,0.6427320490367776,39,31,94,1,298,H,24.0,441
neos-bot,bot,-0.012819655498087945,1.3111433026681827,0.43243243243243246,-243,-302,-180,-1,184,3H,8.0,421
netkan-bot,bot,-60.014594992227224,7.739666077035928,0.3291139240506329,-148,-165,-65,-1,271,H,24.0,504
nextcloud-bot,bot,-1.0915203426321445,2.3520812178595625,0.49324324324324326,-133,-52,-2,-1,296,20T,72.0,358
ninjadotorg-bot,bot,-1726.1113196343188,0.5001622453873236,0.5548172757475083,-103,-101,-1,-1,300,H,24.0,555
niveristand-diff-bot,bot,-15.495480118933656,2.3298885878293296,0.5520504731861199,14,238,143,1,277,30T,48.0,439
nodebb-misty,bot,-0.42505062113675307,1.2077142658196882,0.6614173228346457,0,-38,-6,-1,293,4H,6.0,465
nodejs-github-bot,bot,-1.8523528476486848,1.2945944628357853,0.41423948220064727,-19,-102,-1,-1,300,20T,72.0,408
nur-bot,bot,-0.8372062732027197,0.8560527925983374,0.6079207920792079,46,17,20,1,298,30T,48.0,497
octokit-fixture-user-a,bot,-2.017788663548762,0.3700725898198096,0.548456568557071,288,576,864,1,300,30T,48.0,575
octokitbot,bot,-0.3892724882742302,0.5314084994989401,0.4815950920245399,-240,-262,1340,1,237,H,24.0,625
oll-bot,bot,-1.3299152577220181,0.8250031640901967,0.4738015607580825,121,194,392,1,300,H,24.0,523
openhab-bot,bot,-0.19627117667218608,0.65150325449231,0.38940092165898615,-6,-4,21,1,300,20T,72.0,382
openshift-cherrypick-robot,bot,-0.0014069006629684466,1.0793749851579926,0.8701550387596899,161,51,26,1,296,4T,,447
openssl-machine,bot,-0.5459962858816505,0.6938281440867782,0.5093795093795094,-4,28,148,1,300,H,24.0,548
pantheon-ci-bot,bot,-0.31881435645414014,0.8488483385666397,0.45318352059925093,-329,-651,885,1,299,H,24.0,844
pdfjsbot,bot,-1.300424045053087,0.9192770606445111,0.4030534351145038,-124,-122,-1,-1,300,H,24.0,719
pirate-bot,bot,-11.65215690680825,6.076615154241173,0.5520504731861199,-152,-175,-50,-1,268,H,24.0,490
pivotal-cla,bot,-0.6983138373509059,1.1724041317261797,0.346031746031746,-32,-50,-1,-1,300,4H,6.0,389
pytorchbot,bot,0.6495426397464321,0.37080736733381503,0.5977777777777777,0,4,2,1,300,H,24.0,440
qmk-bot,bot,-0.5078035056454608,0.6713633968794704,0.4631432545201669,-37,-158,-1,-1,300,H,24.0,879
r-ryantm,bot,-0.5448984005817223,0.7588077873596685,0.9263370332996973,146,183,1440,1,298,4T,,419
release-drafter[bot],bot,-0.6441870789103243,0.7938072552798204,0.4708333333333333,-17,-4,3,1,300,3H,8.0,480
renovate-approve-2[bot],bot,-0.1511731376990828,0.7582600826821739,0.7757125154894672,57,265,378,1,300,3T,,428
repo-ranger[bot],bot,-9.156018558334118,1.671794662773583,0.5035335689045937,37,48,-1,-1,300,30T,48.0,556
restyled-io[bot],bot,-1.4438098397473311,0.4145206630322752,0.975320557010892,1961,3797,6488,1,299,T,,762
review-notebook-app[bot],bot,-11.361705650489283,2.555946065785239,0.5358490566037736,-146,-86,-1,-1,300,20T,72.0,433
robot-clickhouse,bot,-0.24495487881448086,1.1107064014656882,0.653558052434457,13,17,-2,1,294,H,24.0,475
rultor,bot,-2.0813399413634746,1.3185025919442503,0.5320665083135392,33,18,28,1,298,20T,72.0,341
rust-timer,bot,-0.6117614775302593,1.6283125940924192,0.46236559139784944,-56,-87,-1,-1,300,20T,72.0,442
rustbot,bot,-1.3291239166445146,1.130060488891923,0.5,-18,-55,-1,-1,300,30T,48.0,441
sagemaker-bot,bot,-2.12923908193306,1.7905153492122323,0.4409090909090909,-145,-99,-2,-1,299,20T,72.0,386
salesforce-cla[bot],bot,-0.014225393718152679,1.358321897007777,0.5474452554744526,-8,-108,-1,-1,300,4H,6.0,510
scrutinizer-notifier,bot,-1.8715553882301164,1.3559148737468003,0.6111111111111112,-55,-31,52,1,300,H,24.0,657
sentry-io[bot],bot,-2.2913635050416294,0.6876752093154154,0.40464547677261614,6,35,56,1,299,H,24.0,760
similar-code-searcher[bot],bot,-0.5776586192718942,0.9401530199066118,0.2837301587301587,-22,-114,-1,-1,298,2H,12.0,539
skia-flutter-autoroll,bot,-7.647927711890091,2.1634044359378843,0.5340909090909091,-107,-107,-1,-1,300,20T,72.0,417
softwarefactory-project-zuul[bot],bot,-1.3252965583883203,1.1284875431091175,0.5723981900452488,132,133,144,1,300,30T,48.0,335
soloio-bot,bot,-0.03656955319931132,0.794143889989114,0.4971590909090909,-46,176,-31,-1,275,H,24.0,574
sourcegraph-bot,bot,-0.1667756528860278,0.6031609868358189,0.7085781433607521,128,116,341,1,299,3T,,500
spinnakerbot,bot,-0.11038591934681086,1.669926129718714,0.528,-122,-134,-9,-1,292,2H,12.0,524
spring-builds,bot,-0.3703694000177622,1.2788182530869976,0.49586776859504134,-80,-63,-1,-1,300,4H,6.0,441
sprucelabs-ci,bot,-4.369907873872827,1.8316876936290252,0.45416666666666666,-145,-194,-1,-1,300,8T,168.0,400
sre-bot,bot,-6.042857411327148,0.4969194939173241,0.5137757081878153,805,1491,1804,1,294,H,24.0,661
stakater-user,bot,-25.547086119832695,0.8995086941770006,0.5143234905244601,665,1256,1880,1,298,30T,48.0,385
status-im-auto,bot,-12.030906168777681,0.9903339193040875,0.30141843971631205,-63,31,21,1,299,30T,48.0,565
submariner-bot,bot,-0.5947476273648542,0.9302095332607272,0.522342064714946,-72,71,134,1,298,20T,72.0,393
swift-ci,bot,-0.03553757981166816,0.7033505373769494,0.5486542443064182,-29,18,127,1,300,7T,,355
taichi-gardener,bot,-7.700254482919668,2.9829452480058034,0.4603448275862069,-265,-265,-79,-1,271,H,24.0,799
thundernest-bot,bot,-0.7686055359227573,1.2665127680334585,0.2740112994350282,-79,-120,-6,-1,299,4H,6.0,416
translatewiki,bot,-0.15452867981059337,1.169966994663691,0.5853174603174603,-1,-1,-1,-1,264,H,24.0,408
tykbot[bot],bot,-0.43999450503706106,1.4641970454585485,0.45454545454545453,-47,-118,-1,-1,300,3H,8.0,434
usercont-release-bot,bot,0.5745988349864039,0.4078371964658933,0.4896551724137931,-1,-1,-1,-1,299,30T,48.0,526
va-bot,bot,0.3943953895542165,0.5288806384262245,0.8223350253807107,-1,-14,-1,-1,300,3H,8.0,416
vc-ci,bot,-4.09525035623002,0.8475559717499187,0.46420047732696895,81,310,321,1,299,20T,72.0,427
violinist-bot,bot,-0.353473228711505,1.2417540251856227,0.5454545454545454,-29,1,1,1,295,30T,48.0,344
vmwclabot,bot,-7.535936302551072,1.6430507440397972,0.7718309859154929,103,88,102,1,297,H,24.0,553
vscode-issue-tracker-bot,bot,1.0,2.227859892486541e-16,0.6844741235392321,-2,-2,-1,-1,300,30T,48.0,600
vtex-io-ci-cd[bot],bot,-0.8324960239670773,1.241279930448541,0.6235565819861432,-143,-166,-2,-1,297,H,24.0,527
vtex-io-docs-bot[bot],bot,-1.9559935328419993,1.2375830742944172,0.4268727705112961,168,163,325,1,300,2H,12.0,504
