contributor,category,r2,mae,rmse,pga,pga_ci_upper,n_activities,optimal_lags
0crat,bot,-0.018472129365231016,0.05067414517784545,0.21514662769821433,0.9367816091954023,0.9885057471264368,118,105
24emebot,bot,0.007166523327110985,0.24023323259214732,0.44413743454296,0.9061032863849765,0.9671361502347418,285,1
5iMON-bot,bot,0.003046541469942099,0.03285935268145251,0.12577973348455534,0.9838709677419355,0.9838709677419355,38,71
AmplabJenkins,bot,0.17095555054400968,0.23048814972593065,0.7586402241543649,0.3181818181818182,0.9545454545454546,28,63
AppVeyorBot,bot,0.003882067541302381,0.6607356532135206,0.7732106535557252,0.631578947368421,0.9824561403508771,300,1
ArduinoBot,bot,-0.014421440929104135,0.1179889029702635,0.7467531980585606,0.861244019138756,0.9569377990430622,53,150
CFPBot,bot,-0.01587634457258824,0.11140664593494642,0.22455566194650087,0.9476190476190476,0.9476190476190476,132,1
Code-Inside-Bot,bot,0.996352794909614,0.036982636741344485,0.13938052073244697,0.09836065573770492,1.0,300,24
CrowdinBot,bot,-0.03392143119241875,1.5366559004545455,6.911483641236337,0.9583333333333334,0.9583333333333334,300,120
DrahtBot,bot,-0.013347470682756102,0.6230352534740122,1.3246287019144625,0.7849462365591398,0.9354838709677419,300,1
Favware-bot,bot,-0.07675846822224464,0.014435485027773464,0.08053731148577745,0.9030303030303031,0.9939393939393939,15,161
FlexGet-Bot,bot,0.4241478131196167,0.10199792270193174,0.4184775210390774,0.6509433962264151,0.9716981132075472,107,168
HT2Bot,bot,0.0016868214503621415,0.04988342423142349,0.27710578202581765,0.9913793103448276,0.9913793103448276,35,49
Hibernate-CI,bot,-0.0002459271110188954,0.021634556562273977,0.14705883235171835,0.9945652173913043,0.9945652173913043,25,146
HitkoDev,bot,-0.33475627004031483,0.12984596538146442,0.1953852451038558,0.9884393063583815,1.0,185,1
ININ-TransifexAutomation,bot,0.3136301337289793,0.02953490566609962,0.16610212066215116,0.9796954314720813,0.9898477157360406,22,24
PJBot,bot,0.012590119795629628,0.45582882428846766,0.7377761200440185,0.8018018018018018,0.9459459459459459,300,1
PRB0t,bot,-3.905026642471954,0.5743682736250459,0.5866026204826301,0.9821428571428571,1.0,300,1
ParadiseSS13-Bot,bot,-0.9174151804499435,0.1374572843721863,0.16317317046959098,0.9859154929577465,1.0,247,1
RiotTranslateBot,bot,-0.3567568521113562,0.10708707053796203,0.22467648948191685,0.9577464788732394,0.9906103286384976,164,89
SpacemacsBot,bot,-0.008078141918620219,0.036097046948198784,0.31924980325879104,0.9795918367346939,0.9897959183673469,19,67
SwiftLintBot,bot,-0.004466720446908878,0.09271189567634328,0.2124748836172917,0.9528301886792453,0.9528301886792453,105,1
UberOpenSourceBot,bot,-0.014865975452774238,0.039886471710457304,0.14351851598212265,0.8652849740932642,0.9792746113989638,35,94
VaporBot,bot,-0.0058270494600267675,0.23167390059518098,1.2850599793936857,0.9617224880382775,0.9617224880382775,168,1
addonsbot,bot,-0.026556212699512693,1.1877081340550897,1.8380774222156566,0.7755102040816326,0.9183673469387755,300,1
adobe-bot,bot,-45.20617495848027,7.137020451790411,8.325218461861551,0.25,0.5,300,13
adoptopenjdk-github-bot,bot,-0.1066093212256023,0.04982268649567564,0.10193019325560505,0.990521327014218,0.990521327014218,81,1
agones-bot,bot,0.013702438751857726,0.45352952132604113,0.5500918988883707,0.6862745098039216,0.9607843137254902,300,1
alluxio-bot,bot,-0.011225484170068523,0.5873853543296113,0.9968486228175831,0.8144329896907216,0.9484536082474226,300,1
amp-owners-bot[bot],bot,-0.01236847324442647,0.0380154543313285,0.22982216690875304,0.9787234042553191,0.9787234042553191,18,23
ampproject-artifacts-bot,bot,-0.004428260624461222,0.04471873936004195,0.1957977887108239,0.975609756097561,0.975609756097561,37,1
analysis-bot,bot,-0.0007707462988304492,0.4950650053899273,0.7546184329442983,0.7916666666666666,0.9479166666666666,300,2
angular-automatic-lock-bot[bot],bot,0.8352301554876576,0.5865630634075548,2.1246505815553234,0.918918918918919,0.972972972972973,300,24
ansibot,bot,-0.02000534498067741,0.5182532011324894,0.7952260222666248,0.7706422018348624,0.8899082568807339,300,1
apmmachine,bot,-34.72880624652121,0.7771625433723843,1.4468879503980612,0.9375,1.0,300,24
apollo-cla,bot,-0.002496561329078828,0.08369958869391089,0.24135155970314118,0.9532710280373832,0.9532710280373832,86,29
aporeto-bot,bot,-0.3219449738442639,4.110226304084743,9.469311167240349,0.4444444444444444,0.9444444444444444,300,36
archzfs-bot,bot,-0.0005017793562638317,0.10368594345768575,0.6472345816149583,0.9900497512437811,0.9900497512437811,84,168
asf-ci,bot,0.006342911792320938,0.016316226284017,0.08032461092648205,0.9934640522875817,0.9934640522875817,31,24
atlassian-cla-bot[bot],bot,-4705385.77001304,37.58595662241755,150.40453394337501,0.32367149758454106,0.8792270531400966,260,117
authenticator-bot,bot,-0.008558750595202058,0.027085849348689968,0.14129157661745276,0.9797979797979798,0.9797979797979798,18,1
aviary2-wf,bot,0.10447250692045607,0.17506880944715064,0.34679930329954345,0.5613207547169812,0.9339622641509434,132,168
aws-cdk-automation,bot,-121.74363638054078,5.152150100218569,5.22267782273808,1.0,1.0,300,4
aws-sdk-go-automation,bot,0.20709363310554307,0.2516710001239339,0.7765035987665257,0.905940594059406,0.9702970297029703,300,24
babel-bot,bot,-0.02449435086870011,0.18991898943914928,0.41688408582839703,0.8857142857142857,0.9523809523809523,227,168
backpackbot,bot,-0.007932532438820639,0.26834322098626795,0.4412274924309238,0.9034090909090909,0.9715909090909091,300,1
backportbot-nextcloud[bot],bot,-0.0012097976202112282,1.3224393741651586,1.6826099112491302,0.7142857142857143,0.9428571428571428,300,2
ballerina-bot,bot,0.6532841877773456,0.8266978367072891,1.1186721524830872,0.625,1.0,300,24
bedevere-bot,bot,-0.5690797015577684,0.9547212308767724,1.2125163763570506,0.5862068965517241,0.896551724137931,300,165
bits-bot,bot,0.1390358027744124,0.34951053500975116,0.7911212648304097,0.593103448275862,0.9379310344827586,300,168
blathers-crl[bot],bot,-0.8718885839672299,3.0260681600626826,4.592101689369301,0.7142857142857143,0.8571428571428571,300,25
blueprint-bot,bot,0.02507508051581364,0.07449104568522434,0.37261181329350074,0.9135135135135135,0.9675675675675676,40,167
bluespice-github-bot,bot,-0.019639869675060373,0.5568350157734224,0.6456929714486962,0.6133333333333333,1.0,300,1
boring-cyborg[bot],bot,-0.644812817058454,0.8352638020419326,1.1060528213093934,0.3333333333333333,0.8095238095238095,300,161
bors-servo,bot,-170.77422912746962,21.71157861977415,26.728723029358466,0.6363636363636364,0.7272727272727273,300,97
bot-gradle,bot,-3.464105031053676,3.914536321009534,4.431936612434362,1.0,1.0,300,1
botcerts,bot,-0.011018542171574497,0.07895058996430282,0.5799450341881519,0.9808917197452229,0.9808917197452229,39,22
bugsnagbot,bot,-0.010789334979116827,0.05982492417582946,0.18521531024461693,0.949748743718593,0.964824120603015,53,163
build-travis-ci,bot,-0.008536308447339103,0.2650490879324312,1.6593910189312802,0.9476190476190476,0.9666666666666667,180,95
callstack-bot,bot,-0.04199326470488951,0.06834518766862614,0.1450566094610645,0.979381443298969,0.979381443298969,92,2
carsonbot,bot,-0.016101729407931753,0.23599332056823308,0.39161196928645714,0.9238095238095239,1.0,300,1
cb-sdk-robot,bot,-0.006266273665872513,0.04814425246716366,0.17542334754030656,0.968421052631579,0.968421052631579,40,1
cf-gitbot,bot,-1.2473734076039271,4.5556672380665875,5.858891604924977,0.6956521739130435,0.782608695652174,300,89
chainer-ci,bot,-0.0054603756060040975,0.11048676920341935,0.40660791208690056,0.9631578947368421,0.9736842105263158,101,17
cheminfo-bot,bot,-0.0030792140372604138,0.5659243902280111,0.9152884139033799,0.8023255813953488,0.9883720930232558,300,2
cla-bot-2021[bot],bot,-0.0006334522089019856,0.08397304386835637,0.2942612347918464,0.9577464788732394,0.9624413145539906,80,82
cla-bot[bot],bot,-10626670.23310832,2269.1996202159994,4173.24015721794,1.0,1.0,300,157
cla-checker-service[bot],bot,-0.2725537361218031,0.40954785815307354,0.49504585391265393,0.865979381443299,1.0,300,1
cloudwanbot,bot,-0.0011605882985978866,0.12429873537920724,0.3863789695786882,0.9761904761904762,0.9761904761904762,147,1
cmsdmwmbot,bot,-0.007753186166549408,0.4034225083248016,0.6548638634141308,0.8345323741007195,0.9136690647482014,300,1
codeclimate[bot],bot,-0.11965922076009394,3.3346835526992513,3.8958442949254906,0.6666666666666666,1.0,300,1
codesandbox[bot],bot,-56.499600267819986,12.806782017818419,15.088123760473632,0.5714285714285714,0.8571428571428571,300,23
confs-tech-bot,bot,-0.07719339798894476,1.1436918369321123,2.4616322236483437,0.7419354838709677,0.9193548387096774,300,115
container-tools-bot,bot,-0.0053634091873024925,0.06686498764809597,0.467890393498984,0.9830508474576272,0.9830508474576272,28,1
coorpacademybot,bot,0.05598740109463285,0.08712591598574801,0.1851454789511701,0.9575471698113207,1.0,114,22
coreosbot,bot,0.019306630370196864,0.27137397773845917,0.6107303082240334,0.9215686274509803,0.9558823529411765,300,24
cozy-bot,bot,-0.06090392192363003,1.2608278234406418,2.2381823549710433,0.7407407407407407,0.8888888888888888,300,1
craterbot,bot,-0.18273926793650808,0.13680476096863883,0.2559739721106803,0.9690721649484536,0.9742268041237113,170,21
cypress-bot[bot],bot,-314295755479.4785,238188.44500360938,580632.2892844342,0.0,0.0,300,150
dangerpr-bot,bot,-0.024140163307838414,0.0365111454580186,0.10355085662386897,0.9894179894179894,0.9894179894179894,48,1
delete-merged-branch[bot],bot,-1.7414992329881516,3.788854986525428,4.1094568102374565,0.8,1.0,300,1
devOpsHazelcast,bot,-0.40979272047417714,0.5665820937083922,0.5944127164438949,0.8113207547169812,1.0,300,1
dlang-bot,bot,-0.14269431208368566,0.39798308940857785,0.5148410486822705,0.8648648648648649,0.972972972972973,300,95
docker-library-bot,bot,-50.58939129694962,2.7504904991692953,4.305802770371777,0.875,1.0,300,30
dontcallmedom-bot,bot,0.9687647613808763,0.23682314329811674,0.5717043241151919,0.2926829268292683,1.0,300,24
dotnet-bot,bot,-87.91800930036999,8.672909212716831,9.371246240449072,0.6666666666666666,0.6666666666666666,300,39
dotnet-issue-labeler[bot],bot,0.0017787681093149876,0.46612162590379247,0.5533219747143805,0.717391304347826,0.9565217391304348,300,1
dotnet-maestro-bot,bot,-0.17598432109042794,1.3817467964193475,2.5235996296372414,0.6142857142857143,0.8142857142857143,300,2
dpulls[bot],bot,-0.010903515172539846,0.18222420961253719,0.2967838975715683,0.9198113207547169,0.9198113207547169,240,1
dsmjs-bot,bot,-0.37427393154110544,0.06667969045091468,0.22664984906324165,0.8632075471698113,0.9905660377358491,85,72
dxrobot,bot,-0.005189367240854503,0.4285980451819801,2.3202792362543905,0.9468085106382979,0.973404255319149,300,24
echarts-bot[bot],bot,-0.0020738550893115715,0.2070924897681758,0.4153453952982938,0.9065420560747663,0.9065420560747663,241,25
edx-requirements-bot,bot,-0.14805832482729997,3.055758358493902,6.442118070146459,0.7272727272727273,0.9090909090909091,300,13
edx-transifex-bot,bot,0.12105802634219198,0.3536912652599891,1.3940518558736255,0.7307692307692307,0.9615384615384616,300,168
element-bot,bot,-0.10634971868056486,0.09158418226442731,0.31650710752182315,0.7171052631578947,0.9802631578947368,64,75
elife-bot,bot,-6.174258426047809,27.866242955905484,37.32898720595726,0.2857142857142857,0.32142857142857145,300,119
engine-flutter-autoroll,bot,-1.441578353496642,2.491689382323124,2.8342181960822908,0.5,1.0,300,25
eslintbot,bot,0.0018402132020568507,0.14714373676315903,0.47959454021922976,0.9345794392523364,0.9439252336448598,152,24
explosion-bot,bot,0.005029885755915897,0.09053588983337627,0.2579164423591752,0.9627659574468085,1.0,255,24
ezrobot,bot,-0.0362860656795414,0.10364496727680417,0.38483364656957164,0.8820224719101124,0.9719101123595506,87,165
facebook-circleci-bot,bot,0.06592784165722865,0.1312991988884456,0.25419618409682565,0.9252336448598131,0.9252336448598131,160,24
fastlane-bot,bot,-0.0093061784912023,0.03738333506697815,0.11921694023912104,0.9857142857142858,0.9857142857142858,48,8
fire-bot,bot,-0.013889306951214264,0.5923644915251173,0.8595836524972388,0.735632183908046,0.8850574712643678,300,1
flinkbot,bot,-0.5314204363176105,1.2956961543871115,1.542606979223762,0.9565217391304348,0.9565217391304348,300,1
fluttergithubbot,bot,-148758.0762164216,233.46702379039058,303.9627156310344,0.3125,0.3125,300,68
forking-renovate[bot],bot,-0.044740538150767506,1.8786315701842144,4.315968124344732,0.6585365853658537,0.9024390243902439,300,24
fossabot,bot,-7.288661179868241,2.5320157676413055,3.2536699703024654,0.5238095238095238,0.8333333333333334,300,129
fozzie-bot,bot,-0.009781396490704974,0.031436188475469425,0.15202651739888182,0.9765625,0.9765625,14,2
garybot2,bot,0.0011722896184958032,0.4111066489065346,0.5712885323110681,0.8016528925619835,1.0,300,1
gatsby-cloud[bot],bot,-39.26637579797573,3.3689440154879886,3.9571639015407527,0.5833333333333334,0.6666666666666666,300,45
gatsbybot,bot,-5.518802039490858,0.12308228641995182,0.2509533815577064,0.7609756097560976,0.9951219512195122,135,143
genie-jnosql,bot,-0.025730418485503392,0.06929064217586256,0.33442339771995827,0.958974358974359,0.958974358974359,28,11
getsentry-bot,bot,0.001983710256428184,1.128299917428907,1.5793906912120235,0.8095238095238095,0.9047619047619048,300,1
gitguardian[bot],bot,-74.53784292665786,16.208414154745107,16.65790964101231,0.42857142857142855,0.42857142857142855,300,24
