contributor,category,r2,mae,rmse,pga,pga_ci_upper,n_activities
0crat,bot,-0.011617478200292464,0.023018861370975106,0.21442140173403432,0.9885057471264368,0.9885057471264368,118
24emebot,bot,-0.023301857266168957,0.14099561702172062,0.45090085062997987,0.9061032863849765,0.9671361502347418,285
5iMON-bot,bot,-0.016393442622950838,0.016129032258287806,0.1270001270001905,0.15591397849462366,0.9838709677419355,38
AmplabJenkins,bot,-0.047223055222717525,0.18526155928368612,0.8526416735419393,0.8636363636363636,0.9545454545454546,28
AppVeyorBot,bot,-0.15555589626094934,0.6979677555322532,0.832794654650263,0.631578947368421,0.9824561403508771,300
ArduinoBot,bot,-0.018365813726952007,0.10048265387067862,0.7482035889987978,0.44976076555023925,0.9569377990430622,53
CFPBot,bot,-0.06994630345197672,0.057916559385630506,0.2304541734001785,0.9476190476190476,0.9476190476190476,132
Code-Inside-Bot,bot,0.9978783184623629,0.022451557855771395,0.10630705537782313,0.4426229508196721,0.9672131147540983,300
CrowdinBot,bot,-0.043439050052608064,1.4166666666666667,6.943222114647733,0.5,0.9583333333333334,300
DrahtBot,bot,-0.026305301852950658,0.4862725806339165,1.3330709159276193,0.7849462365591398,0.9354838709677419,300
Favware-bot,bot,-0.006097560975621308,0.006060606713862841,0.07784989441615275,0.503030303030303,0.9939393939393939,15
FlexGet-Bot,bot,-0.025160629472528617,0.08658454741701117,0.5583577951968336,0.49056603773584906,0.9716981132075472,107
HT2Bot,bot,-0.008695652173912993,0.02586206896551724,0.2785430072655778,0.41379310344827586,0.9913793103448276,35
Hibernate-CI,bot,-0.005464480874317168,0.010869565217391304,0.14744195615489714,0.4891304347826087,0.9945652173913043,25
HitkoDev,bot,-0.010514018691588856,0.017341040462450295,0.17000510022951149,0.04046242774566474,1.0,185
ININ-TransifexAutomation,bot,0.1827889855753957,0.0337191093055488,0.18124380818718747,0.3350253807106599,0.9898477157360406,22
PJBot,bot,-0.11789615859770808,0.29386983876910144,0.7850125352892707,0.8018018018018018,0.9459459459459459,300
PRB0t,bot,-0.01818181818203657,0.035714302530972665,0.26726124191245304,0.48214285714285715,1.0,300
ParadiseSS13-Bot,bot,-0.02726482010589959,0.03390196310700896,0.11943507291003835,0.4835680751173709,0.9953051643192489,247
RiotTranslateBot,bot,-0.04553382264618033,0.022397976228606127,0.19723121996240142,0.17370892018779344,0.9906103286384976,164
SpacemacsBot,bot,-0.009268795056642576,0.0306122448979592,0.31943828249996997,0.4897959183673469,0.9897959183673469,19
SwiftLintBot,bot,-0.051895373351488194,0.048317955200465966,0.2174333195402417,0.49528301886792453,0.9528301886792453,105
UberOpenSourceBot,bot,-0.020816684044319578,0.025182150439175818,0.14393866436799774,0.9792746113989638,0.9792746113989638,35
VaporBot,bot,-0.017081264989681655,0.16746411516582715,1.2922292595859852,0.9617224880382775,0.9617224880382775,168
addonsbot,bot,-0.2352966055163952,0.883961493653354,2.0163134942145033,0.16326530612244897,0.8163265306122449,300
adobe-bot,bot,-11.454252902447708,3.624506239832985,4.322196126238554,0.75,1.0,300
adoptopenjdk-github-bot,bot,-0.00956937799043045,0.009478672985846016,0.0973584767022471,0.4881516587677725,0.990521327014218,81
agones-bot,bot,0.1509202072197533,0.35690690539425607,0.5103939551762392,0.7156862745098039,0.9607843137254902,300
alluxio-bot,bot,-0.16051154694052494,0.41988702193216076,1.0678984183365248,0.8144329896907216,0.8762886597938144,300
amp-owners-bot[bot],bot,-0.01952277657266821,0.031914893617021274,0.23063280200722128,0.28191489361702127,0.9787234042553191,18
ampproject-artifacts-bot,bot,-0.02245157947219023,0.029310957749552873,0.19754666214173477,0.4097560975609756,0.975609756097561,37
analysis-bot,bot,-0.05917521292454664,0.4120535601495907,0.7763257880743121,0.7916666666666666,0.9479166666666666,300
angular-automatic-lock-bot[bot],bot,0.8933814989830193,0.33014722199380214,1.7090900143763532,0.5945945945945946,0.972972972972973,300
ansibot,bot,-0.06925324750419604,0.4257936411424573,0.8141972820718245,0.7247706422018348,0.8990825688073395,300
apmmachine,bot,-15.199461609871445,0.5961477809370952,0.9742623895560195,0.5625,1.0,300
apollo-cla,bot,-0.0072319592190976945,0.07992109483546976,0.2419209128769426,0.9532710280373832,0.9532710280373832,86
aporeto-bot,bot,-0.07708604489903181,2.371037020645307,8.547456485567675,0.8888888888888888,0.9444444444444444,300
archzfs-bot,bot,-0.009990541499172334,0.06467661691542288,0.6502965263164978,0.4925373134328358,0.9900497512437811,84
asf-ci,bot,-0.006578947368421018,0.006535947712418301,0.08084520834544433,0.6535947712418301,0.9934640522875817,31
atlassian-cla-bot[bot],bot,-0.004859212460078588,0.004851520458234829,0.06950497219656437,0.0,1.0,260
authenticator-bot,bot,-0.021101791814190474,0.02098295486176243,0.14216745516763404,0.5252525252525253,0.9797979797979798,18
aviary2-wf,bot,-0.0004272031527092768,0.15261403010002622,0.36654854573339457,0.9292452830188679,0.9292452830188679,132
aws-cdk-automation,bot,-57.23001368826053,3.3614108011589576,3.597221572524505,0.8333333333333334,1.0,300
aws-sdk-go-automation,bot,0.5340548511415365,0.12331705439925436,0.5952507036981506,0.400990099009901,0.9702970297029703,300
babel-bot,bot,-0.002259888346073602,0.16717494864322535,0.41233548151148736,0.9476190476190476,0.9476190476190476,227
backpackbot,bot,-0.08845451303127727,0.13069057944630844,0.4585133402591194,0.23295454545454544,0.9715909090909091,300
backportbot-nextcloud[bot],bot,-0.044515602220349226,1.08155911581563,1.7186140705056003,0.6857142857142857,0.9714285714285714,300
ballerina-bot,bot,0.8123821002883127,0.6573424403147704,0.822911512115289,0.25,1.0,300
bedevere-bot,bot,-0.01679197490651063,0.7803341032455748,0.9760704518747532,0.6724137931034483,0.9482758620689655,300
bits-bot,bot,0.28311772031060944,0.3168729777745188,0.7218956668096219,0.8689655172413793,0.9517241379310345,300
blathers-crl[bot],bot,-0.448935515228152,2.2721692416915746,4.0401364000159035,0.42857142857142855,0.8571428571428571,300
blueprint-bot,bot,-0.02482560525235966,0.05945945945945947,0.382028723980208,0.7297297297297297,0.9675675675675676,40
bluespice-github-bot,bot,-0.4601077435059031,0.46364295664826005,0.7726718791959439,0.25333333333333335,0.92,300
boring-cyborg[bot],bot,-0.07900479416579631,0.6717712103139264,0.8958376569886247,0.4603174603174603,0.9682539682539683,300
bors-servo,bot,-0.08189865773752336,1.6697587173222563,2.1212531371700525,0.6363636363636364,0.9545454545454546,300
bot-gradle,bot,0.12126903370935294,1.783314711201101,1.9663204854953953,0.6,1.0,300
botcerts,bot,-0.014756097560975512,0.07006369426751592,0.5810160220117815,0.5222929936305732,0.9808917197452229,39
bugsnagbot,bot,-0.014533669706862984,0.0476734558298833,0.18555804588148248,0.964824120603015,0.964824120603015,53
build-travis-ci,bot,-0.01681167799905392,0.2146796485719542,1.666185033058217,0.9476190476190476,0.9476190476190476,180
callstack-bot,bot,-0.021052633230237427,0.02061908024473235,0.1435916318396589,0.0,0.979381443298969,92
carsonbot,bot,-0.0725557582033931,0.10481582580391088,0.4023437888333046,0.6571428571428571,1.0,300
cb-sdk-robot,bot,-0.03259449021206162,0.0315798328502721,0.17770344099556784,0.47368421052631576,0.968421052631579,40
cf-gitbot,bot,-0.1343575211078223,1.773464114461693,4.162486344954233,0.34782608695652173,0.9130434782608695,300
chainer-ci,bot,-0.0007169576353172058,0.14365113894718473,0.4056476597211044,0.9736842105263158,0.9736842105263158,101
cheminfo-bot,bot,-0.14629439162978763,0.3662938385056469,0.9784495395780164,0.8023255813953488,0.9883720930232558,300
cla-bot-2021[bot],bot,-0.002115447664952308,0.08718152777071554,0.2944790630392305,0.9624413145539906,0.9624413145539906,80
cla-bot[bot],bot,-0.8636822378003499,1.2122579026409968,1.7476750590285868,0.2222222222222222,0.8333333333333334,300
cla-checker-service[bot],bot,-0.2012716750011314,0.16804478216639337,0.4809810663352884,0.20618556701030927,1.0,300
cloudwanbot,bot,-0.021882428372051788,0.05721648416777253,0.3903570912727311,0.22857142857142856,0.9761904761904762,147
cmsdmwmbot,bot,-0.14200198946540854,0.2771223411583402,0.6971197168799494,0.48201438848920863,0.9136690647482014,300
codeclimate[bot],bot,-2.0687549804899548,5.500978368357699,6.449703762531996,0.0,0.0,300
codesandbox[bot],bot,-0.0008282449810910197,1.804012221057685,1.9905935917399504,0.7142857142857143,1.0,300
confs-tech-bot,bot,-0.023554930614308134,0.9884441093964521,2.3995616047099264,0.8870967741935484,0.9193548387096774,300
container-tools-bot,bot,-0.011873350923482962,0.05084745762711865,0.46940279403817725,0.4745762711864407,0.9830508474576272,28
coorpacademybot,bot,0.022912275238442303,0.03763608947695951,0.18836100324130656,0.5,0.9622641509433962,114
coreosbot,bot,0.047980168670090806,0.23280323631867014,0.6017358007558062,0.9362745098039216,0.9607843137254902,300
cozy-bot,bot,-0.1498492050341924,1.007599628193402,2.330117839095833,0.7407407407407407,0.8888888888888888,300
