contributor,category,r2,mae,rmse,pga,pga_pi_upper,n_activities
0crat,bot,-0.1985910179912267,0.10793792241757663,0.23339711211152095,0.8448275862068966,1.0,118
24emebot,bot,-0.4751925013678511,0.4723834165266204,0.5413816376783829,0.9061032863849765,0.9671361502347418,285
5iMON-bot,bot,-0.011919794813610274,0.034533658868518384,0.1267203237385186,0.4731182795698925,0.9838709677419355,38
AmplabJenkins,bot,-0.09683470015126994,0.31574295730709756,0.8726047016801308,0.9545454545454546,0.9545454545454546,28
AppVeyorBot,bot,-0.406188909918513,0.8127737277130812,0.918680047655508,0.7543859649122807,0.9824561403508771,300
ArduinoBot,bot,-0.014940299225341347,0.11493049862973587,0.7469441490501816,0.42105263157894735,0.9569377990430622,53
CFPBot,bot,-0.022720980349514752,0.1407634947543549,0.2253108825301386,0.9476190476190476,0.9857142857142858,132
Code-Inside-Bot,bot,0.9976259173725932,0.057774765403888186,0.112452704591792,0.9672131147540983,1.0,300
CrowdinBot,bot,-0.11765053547759341,2.3804974265374828,7.185889439135227,0.20833333333333334,0.9583333333333334,300
DrahtBot,bot,0.03469451070758489,0.5288684767378512,1.2928476640331696,0.6344086021505376,0.9354838709677419,300
Favware-bot,bot,-0.01874182050960682,0.01938102285420397,0.07833756123953424,0.9939393939393939,0.9939393939393939,15
FlexGet-Bot,bot,0.30520468918450794,0.09436282275140907,0.45966883859607777,0.4339622641509434,0.9716981132075472,107
HT2Bot,bot,0.011856267057122838,0.07058892761759475,0.2756907824365955,0.28448275862068967,0.9913793103448276,35
Hibernate-CI,bot,-0.03834180191648051,0.027194785788121244,0.14983314197361583,0.32608695652173914,0.9945652173913043,25
HitkoDev,bot,-1.025534275961692,0.12834758412236555,0.24069140250267604,0.4161849710982659,1.0,185
ININ-TransifexAutomation,bot,-1.6857851036361273,0.06480434235472464,0.32857287163010435,0.03553299492385787,0.9949238578680203,22
PJBot,bot,-0.036266365806894685,0.5096127958289975,0.7558081332613911,0.8018018018018018,0.972972972972973,300
PRB0t,bot,-24.757007073702034,1.1570104150245848,1.3442220405130378,0.26785714285714285,1.0,300
ParadiseSS13-Bot,bot,-0.596695481087522,0.09471998231305556,0.14890240741627894,0.2347417840375587,0.9953051643192489,247
RiotTranslateBot,bot,-0.07523811717742146,0.08388782474818131,0.20001333144504901,0.39906103286384975,0.9906103286384976,164
SpacemacsBot,bot,-0.011615272373390884,0.041040058467346034,0.31980940242768,0.2857142857142857,0.9897959183673469,19
SwiftLintBot,bot,0.020379905879979288,0.09269393691320871,0.20983052450687023,0.9386792452830188,0.9528301886792453,105
UberOpenSourceBot,bot,-0.043859063203025794,0.032883970435229046,0.1455541263548759,0.37823834196891193,0.9792746113989638,35
VaporBot,bot,-0.027861131058759536,0.21629915283004214,1.2990592654977369,0.3875598086124402,0.9617224880382775,168
addonsbot,bot,-0.8614579165655918,1.708195882444104,2.4751358682517304,0.061224489795918366,0.9183673469387755,300
adobe-bot,bot,0.04799564567023451,1.1512790695438624,1.1949922725669184,0.75,1.0,300
adoptopenjdk-github-bot,bot,-0.39005510847829705,0.048905769901959995,0.11424092072660613,0.990521327014218,0.990521327014218,81
agones-bot,bot,-2.1343210424631427,0.8925641540649378,0.9806251079880652,0.9411764705882353,1.0,300
alluxio-bot,bot,-0.09413656538961912,0.500824417341482,1.0369097934828477,0.5773195876288659,0.9072164948453608,300
amp-owners-bot[bot],bot,-0.010886443043428784,0.038881595701573575,0.22965388423950125,0.31382978723404253,0.9787234042553191,18
ampproject-artifacts-bot,bot,-0.000923729214708402,0.044734474006046326,0.19545591308475468,0.35609756097560974,0.975609756097561,37
analysis-bot,bot,-0.02397442095470259,0.4514267241361141,0.7633165214532199,0.7916666666666666,0.9479166666666666,300
angular-automatic-lock-bot[bot],bot,0.8571914368598773,0.5657246628034754,1.9779976684962641,0.10810810810810811,0.972972972972973,300
ansibot,bot,0.008446813600080372,0.45952301893229436,0.7840565126426836,0.7247706422018348,0.9174311926605505,300
apmmachine,bot,-61.51429677475513,1.0310855796997196,1.9138827228035182,0.9375,1.0,300
apollo-cla,bot,-0.02441309758683352,0.0821641158555689,0.2439755047509417,0.8738317757009346,0.9532710280373832,86
aporeto-bot,bot,-0.050082913354362324,5.16365388982111,8.43963170360876,0.9444444444444444,0.9444444444444444,300
archzfs-bot,bot,0.004023948020932533,0.10324018120799631,0.6457690533292948,0.2885572139303483,0.9900497512437811,84
asf-ci,bot,-0.01647032187038011,0.008921868670424615,0.08124145907830937,0.0,0.9934640522875817,31
atlassian-cla-bot[bot],bot,-19.309722431566353,0.1824694115526992,0.3124749870603959,0.21256038647342995,1.0,260
authenticator-bot,bot,-0.03374194190772317,0.02847857809744387,0.14304468937311537,0.42424242424242425,0.9797979797979798,18
aviary2-wf,bot,0.057679585267792155,0.14343354917856116,0.3557443854830024,0.9292452830188679,0.9292452830188679,132
aws-cdk-automation,bot,-10.457588823528033,1.496464594486765,1.5956600044097415,1.0,1.0,300
aws-sdk-go-automation,bot,0.5322899498099283,0.12683010244177795,0.5963769798471862,0.9702970297029703,0.9702970297029703,300
babel-bot,bot,0.03377661083619199,0.1659452802366109,0.40485481214769875,0.9238095238095239,0.9476190476190476,227
