contributor,category,r2,mae,rmse,pga,pga_ci_upper,n_activities
0crat,bot,-1.3975412172190222,0.07680288943840878,0.33009808867490936,0.5977011494252874,1.0,118
24emebot,bot,-7.204307328555171,0.5489721626658799,1.2767331464159724,0.3380281690140845,1.0,285
5iMON-bot,bot,-0.6147913457823759,0.03633858866127968,0.16007792074769897,0.5053763440860215,1.0,38
AmplabJenkins,bot,-2.024212524836538,0.5996300202716982,1.4489490408661785,0.5454545454545454,1.0,28
AppVeyorBot,bot,-10.647436638313339,1.4515574780796048,2.643976728493643,0.5789473684210527,1.0,300
ArduinoBot,bot,-0.0730961820535656,0.1504297957168899,0.7680459547275136,0.49760765550239233,0.9952153110047847,53
CFPBot,bot,-1.0282785213611696,0.11138605031186484,0.31729803451061483,0.4238095238095238,1.0,132
Code-Inside-Bot,bot,0.9965586476923279,0.02615370057348947,0.13538999054555362,0.5573770491803278,1.0,300
CrowdinBot,bot,-0.18502379352074638,1.9387383329517844,7.3993070707356345,0.5,1.0,300
DrahtBot,bot,-4.2612192548250265,1.4180273387520448,3.0182705593841312,0.6021505376344086,0.989247311827957,300
Favware-bot,bot,-9.533088896486147,0.07026229371185923,0.2518928583452749,0.48484848484848486,1.0,15
FlexGet-Bot,bot,-0.20042317962432654,0.1326707456715889,0.6042042983741145,0.5707547169811321,1.0,107
HT2Bot,bot,-0.2572657960561422,0.05456939059647358,0.3109751858424214,0.5258620689655172,1.0,35
Hibernate-CI,bot,-0.19972697666790884,0.024383078770289595,0.1610567494745341,0.6195652173913043,1.0,25
HitkoDev,bot,-12.998970609928051,0.14840747786478678,0.63275972712211,0.5606936416184971,1.0,185
ININ-TransifexAutomation,bot,-6.152106267118227,0.15255723728683504,0.5361830148650577,0.49746192893401014,0.9949238578680203,22
PJBot,bot,-0.8861701051246762,0.52199474381095,1.0196856051659173,0.4774774774774775,1.0,300
PRB0t,bot,-76.25505589820341,0.5709837486402524,2.3280203320263433,0.5,1.0,300
